No.,Time,Source,Destination,Protocol,Length,Info,,,,,,,,,,,,Time 2,Time 2,,Delay,,Delay 2,Delay 1,,Jitter
86,2.345632,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
87,2.345632,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
88,2.345632,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
89,2.345632,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
90,2.345632,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
91,2.345632,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
92,2.346543,192.168.1.6,118.98.109.82,UDP,75,61674  >  443 Len=33,,,,,,,,,,,,,,,,,,,,
93,2.349767,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
94,2.349767,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
95,2.349767,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
96,2.349767,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
97,2.349767,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
98,2.349767,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
99,2.349767,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
100,2.349767,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
101,2.349767,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
102,2.349767,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
103,2.349767,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
104,2.349767,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
105,2.350643,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
106,2.350643,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
107,2.350643,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
108,2.350643,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
109,2.350643,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
110,2.350643,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
111,2.350643,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
112,2.350643,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
113,2.350643,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
114,2.350947,192.168.1.6,118.98.109.82,UDP,75,61674  >  443 Len=33,,,,,,,,,,,,,,,,,,,,
115,2.35146,192.168.1.6,118.98.109.82,UDP,75,61674  >  443 Len=33,,,,,,,,,,,,,,,,,,,,
116,2.353723,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
117,2.353723,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
118,2.353723,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
119,2.353723,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
120,2.353723,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
121,2.353723,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
122,2.353723,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
123,2.353723,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
124,2.353723,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
125,2.353723,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
126,2.353723,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
127,2.353723,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
128,2.354407,192.168.1.6,118.98.109.82,UDP,75,61674  >  443 Len=33,,,,,,,,,,,,,,,,,,,,
129,2.354865,192.168.1.6,118.98.109.82,UDP,75,61674  >  443 Len=33,,,,,,,,,,,,,,,,,,,,
130,2.355655,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
131,2.355655,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
132,2.355655,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
133,2.355655,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
134,2.355655,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
135,2.355655,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
136,2.355655,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
137,2.355655,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
138,2.355655,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
139,2.356154,192.168.1.6,118.98.109.82,UDP,75,61674  >  443 Len=33,,,,,,,,,,,,,,,,,,,,
140,2.357598,192.168.1.6,118.98.109.82,UDP,75,61674  >  443 Len=33,,,,,,,,,,,,,,,,,,,,
141,2.357688,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
142,2.357688,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
143,2.357688,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
144,2.357688,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
145,2.357688,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
146,2.357688,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
147,2.357688,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
148,2.357688,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
149,2.357688,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
150,2.357688,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
151,2.357688,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
152,2.357688,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
153,2.358447,192.168.1.6,118.98.109.82,UDP,75,61674  >  443 Len=33,,,,,,,,,,,,,,,,,,,,
154,2.359599,192.168.1.6,118.98.109.82,UDP,75,61674  >  443 Len=33,,,,,,,,,,,,,,,,,,,,
155,2.359675,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
156,2.359675,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
157,2.359675,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
158,2.359675,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
159,2.359675,118.98.109.82,192.168.1.6,UDP,1392,443  >  61674 Len=1350,,,,,,,,,,,,,,,,,,,,
